State,Data,Recall Page Link,Recall Page Link,Update Date,notes
Alaska,No,https://www.commerce.alaska.gov/web/amco/,,8/2026,"It's not only for recalls, so it doesn't count"
Arizona,Yes,https://www.azdhs.gov/director/public-information-office/index.php#releases-adhs,,8/2026,No longer comprehensive.
Arkansas,No,,,8/2026,"No centralized place to record recalls, It's expected the dispensaries do so. No way to trace or understand supply chain safety issues. Boo."
California,Yes,https://www.cannabis.ca.gov/consumers/cannabis-recalls-and-safety-notices/,,8/2026,Extensive Now
Colorado,Yes,https://sbg.colorado.gov/med/health-and-safety-advisories,,8/2026,"press releases; not recalls, health advisories"
Connecticut,No,"No Centralized Page found, but recalls evident",,8/2026,
Delaware,No,,,8/2026,
Florida,No,,,8/2026,
Georgia,No,,,8/2026,
Hawaii,No,,,8/2026,
Illinois,No,,,8/2026,
Kentucky,No,,,8/2026,
Louisiana,No,,,8/2026,
Maine,No,https://www.maine.gov/dafs/ocp/resources/recalls,,8/2026,
Maryland,No,https://cannabis.maryland.gov/pages/bulletins.aspx,,8/2026,
Massachusetts,No,https://masscannabiscontrol.com/news/public-health-and-safety-advisories/,,8/2026,
Michigan,Yes,https://www.michigan.gov/cra/bulletins,,8/2026,
Minnesota,No,https://mn.gov/ocm/businesses/recalls.jsp,,8/2026,...only hemp recalls?  Really? 
Mississippi,No,https://www.mmcp.ms.gov/patient-purchased-recall-items,,8/2026,
Missouri,No,https://health.mo.gov/business-professionals/cannabis-regulation/licensee-compliance-and-guidance/product-recalls,,8/2026,
Montana,Yes,https://revenue.mt.gov/card/cannabis/cannabis-product-recalls,,8/2026,but have no recalls yet
Nevada,Yes,https://ccb.nv.gov/guidance/#item-1,,8/2026,
New Hampshire,No,,,8/2026,
New Jersey,Yes,https://www.nj.gov/cannabis/adult-personal/recalls/,,8/2026,None listed; some in press
New Mexico,Yes,https://www.rld.nm.gov/cannabis/data-news/cannabis-recalls/,,8/2026,
New York,No,https://cannabis.ny.gov/recalls,New,8/2026,It says they will be posted on that page but the unregulated hemp products they recalled aren't included.
North Dakota,No,,,8/2026,
Ohio,Yes,https://com.ohio.gov/divisions-and-programs/cannabis-control/product-safety,,8/2026,One from December not included
Oklahoma,Yes,https://oklahoma.gov/omma/recalls/embargoed-and-recalled-products.html,,8/2026,
Oregon,Yes,https://www.oregon.gov/olcc/Pages/product-recalls.aspx,,8/2026,
Pennsylvania,No,,,8/2026,
Rhode Island,No,,,8/2026,
South Dakota,No,,,8/2026,
Vermont,No,,,8/2026,
Washington,Yes,https://lcb.wa.gov/examiners/recalls,,8/2026,
West Virginia,No,,,8/2026,
District of Columbia,No,,,8/2026,
